pressure,wind,class,radius_major_gale_axis,radius_minor_gale_axis,direc_major_gale_axis,image
985,40,3,150,150,symmetric,image/GMS500072609.200006.jpg
985,45,3,150,150,symmetric,image/GMS500072612.200006.jpg
985,45,3,150,150,symmetric,image/GMS500072615.200006.jpg
985,45,3,150,150,symmetric,image/GMS500072618.200006.jpg
985,45,3,180,150,SE,image/GMS500072621.200006.jpg
985,45,3,200,150,SE,image/GMS500072700.200006.jpg
985,45,3,200,150,SE,image/GMS500072703.200006.jpg
985,45,3,200,150,SE,image/GMS500072706.200006.jpg
985,45,3,200,150,SE,image/GMS500072709.200006.jpg
985,45,3,200,150,SE,image/GMS500072712.200006.jpg
985,45,3,200,150,SE,image/GMS500072715.200006.jpg
985,45,3,200,150,SE,image/GMS500072718.200006.jpg
985,45,3,200,150,SE,image/GMS500072721.200006.jpg
985,45,3,200,150,SE,image/GMS500072800.200006.jpg
985,45,3,200,150,SE,image/GMS500072803.200006.jpg
985,45,3,200,150,SE,image/GMS500072806.200006.jpg
985,45,3,200,150,SE,image/GMS500072809.200006.jpg
985,45,3,200,150,SE,image/GMS500072812.200006.jpg
985,45,3,200,150,SE,image/GMS500072815.200006.jpg
985,45,3,200,150,SE,image/GMS500072818.200006.jpg
985,45,3,200,150,SE,image/GMS500072821.200006.jpg
985,45,3,180,140,SE,image/GMS500072900.200006.jpg
985,45,3,180,140,SE,image/GMS500072903.200006.jpg
980,50,4,180,140,SE,image/GMS500072906.200006.jpg
980,50,4,180,140,SE,image/GMS500072909.200006.jpg
985,45,3,170,130,SE,image/GMS500072912.200006.jpg
985,45,3,170,130,SE,image/GMS500072915.200006.jpg
985,45,3,170,130,SE,image/GMS500072918.200006.jpg
985,45,3,170,130,SE,image/GMS500072921.200006.jpg
985,45,3,170,130,SE,image/GMS500073000.200006.jpg
985,40,3,170,130,SE,image/GMS500073003.200006.jpg
985,40,3,160,120,SE,image/GMS500073006.200006.jpg
985,40,3,160,120,SE,image/GMS500073009.200006.jpg
985,40,3,140,100,SE,image/GMS500073012.200006.jpg
990,40,3,140,80,SE,image/GMS500073015.200006.jpg
988,40,3,140,60,SE,image/GMS500073018.200006.jpg
990,35,3,120,40,SE,image/GMS500073021.200006.jpg
998,35,3,100,100,symmetric,image/GMS500072818.200007.jpg
996,35,3,150,80,N,image/GMS500072900.200007.jpg
998,35,3,120,60,N,image/GMS500072906.200007.jpg
1000,35,3,100,40,N,image/GMS500072912.200007.jpg
996,35,3,30,30,symmetric,image/GMS500080112.200008.jpg
985,45,3,120,120,symmetric,image/GMS500080118.200008.jpg
970,65,5,130,130,symmetric,image/GMS500080200.200008.jpg
960,75,5,130,130,symmetric,image/GMS500080206.200008.jpg
955,75,5,130,130,symmetric,image/GMS500080212.200008.jpg
945,80,5,130,130,symmetric,image/GMS500080218.200008.jpg
940,85,5,130,130,symmetric,image/GMS500080300.200008.jpg
940,85,5,130,130,symmetric,image/GMS500080306.200008.jpg
940,85,5,120,120,symmetric,image/GMS500080312.200008.jpg
940,85,5,120,120,symmetric,image/GMS500080315.200008.jpg
945,85,5,120,120,symmetric,image/GMS500080318.200008.jpg
945,85,5,120,120,symmetric,image/GMS500080321.200008.jpg
950,80,5,120,120,symmetric,image/GMS500080400.200008.jpg
950,80,5,150,150,symmetric,image/GMS500080406.200008.jpg
950,80,5,150,150,symmetric,image/GMS500080412.200008.jpg
950,80,5,150,150,symmetric,image/GMS500080418.200008.jpg
950,80,5,150,150,symmetric,image/GMS500080500.200008.jpg
950,80,5,150,150,symmetric,image/GMS500080506.200008.jpg
955,80,5,150,150,symmetric,image/GMS500080512.200008.jpg
955,80,5,150,150,symmetric,image/GMS500080515.200008.jpg
955,80,5,150,150,symmetric,image/GMS500080518.200008.jpg
955,80,5,150,150,symmetric,image/GMS500080521.200008.jpg
960,80,5,150,150,symmetric,image/GMS500080600.200008.jpg
960,80,5,150,150,symmetric,image/GMS500080603.200008.jpg
960,80,5,150,150,symmetric,image/GMS500080606.200008.jpg
960,80,5,150,150,symmetric,image/GMS500080609.200008.jpg
960,80,5,140,140,symmetric,image/GMS500080612.200008.jpg
960,80,5,140,140,symmetric,image/GMS500080615.200008.jpg
960,80,5,140,140,symmetric,image/GMS500080618.200008.jpg
960,80,5,130,130,symmetric,image/GMS500080621.200008.jpg
960,80,5,130,130,symmetric,image/GMS500080700.200008.jpg
960,80,5,150,110,E,image/GMS500080703.200008.jpg
960,80,5,150,110,E,image/GMS500080706.200008.jpg
960,80,5,150,110,E,image/GMS500080709.200008.jpg
965,75,5,150,110,E,image/GMS500080712.200008.jpg
965,75,5,180,110,E,image/GMS500080715.200008.jpg
965,75,5,180,110,E,image/GMS500080718.200008.jpg
965,75,5,180,110,E,image/GMS500080721.200008.jpg
965,75,5,180,110,E,image/GMS500080800.200008.jpg
965,75,5,180,120,E,image/GMS500080803.200008.jpg
965,75,5,180,120,E,image/GMS500080806.200008.jpg
965,75,5,180,120,E,image/GMS500080809.200008.jpg
965,75,5,180,120,E,image/GMS500080812.200008.jpg
965,70,5,180,120,E,image/GMS500080818.200008.jpg
965,70,5,180,120,E,image/GMS500080900.200008.jpg
965,70,5,180,120,E,image/GMS500080906.200008.jpg
970,70,5,170,120,E,image/GMS500080912.200008.jpg
970,70,5,150,100,E,image/GMS500080918.200008.jpg
970,65,5,150,100,E,image/GMS500081000.200008.jpg
980,50,4,110,70,E,image/GMS500081006.200008.jpg
985,40,3,100,60,E,image/GMS500081012.200008.jpg
994,35,3,90,90,symmetric,image/GMS500080918.200009.jpg
992,40,3,180,180,symmetric,image/GMS500081000.200009.jpg
992,40,3,180,180,symmetric,image/GMS500081006.200009.jpg
992,40,3,180,180,symmetric,image/GMS500081012.200009.jpg
992,40,3,180,180,symmetric,image/GMS500081018.200009.jpg
990,45,3,200,200,symmetric,image/GMS500081100.200009.jpg
985,50,4,325,200,SE,image/GMS500081106.200009.jpg
980,55,4,325,200,SE,image/GMS500081112.200009.jpg
980,55,4,350,200,SE,image/GMS500081118.200009.jpg
980,55,4,350,200,SE,image/GMS500081200.200009.jpg
985,50,4,350,200,SE,image/GMS500081206.200009.jpg
985,50,4,350,200,SE,image/GMS500081209.200009.jpg
985,50,4,325,200,SE,image/GMS500081212.200009.jpg
985,50,4,300,190,SE,image/GMS500081215.200009.jpg
985,50,4,270,160,SE,image/GMS500081218.200009.jpg
985,50,4,270,160,SE,image/GMS500081221.200009.jpg
985,50,4,270,160,SE,image/GMS500081300.200009.jpg
985,50,4,270,160,SE,image/GMS500081303.200009.jpg
985,50,4,270,160,SE,image/GMS500081306.200009.jpg
985,50,4,270,160,SE,image/GMS500081309.200009.jpg
985,50,4,270,160,SE,image/GMS500081312.200009.jpg
985,50,4,270,160,SE,image/GMS500081315.200009.jpg
985,50,4,270,160,SE,image/GMS500081318.200009.jpg
985,50,4,325,200,SE,image/GMS500081400.200009.jpg
985,50,4,350,200,SE,image/GMS500081406.200009.jpg
985,50,4,375,200,SE,image/GMS500081412.200009.jpg
980,55,4,375,200,SE,image/GMS500081418.200009.jpg
980,55,4,375,230,E,image/GMS500081500.200009.jpg
975,60,4,400,250,E,image/GMS500081506.200009.jpg
975,60,4,400,250,E,image/GMS500081512.200009.jpg
975,65,5,400,250,E,image/GMS500081518.200009.jpg
975,65,5,400,250,SE,image/GMS500081600.200009.jpg
975,65,5,400,250,SE,image/GMS500081606.200009.jpg
980,60,4,350,240,SE,image/GMS500081612.200009.jpg
980,55,4,300,240,E,image/GMS500081618.200009.jpg
985,50,4,300,240,SE,image/GMS500081700.200009.jpg
985,50,4,280,280,symmetric,image/GMS500081706.200009.jpg
990,45,3,280,280,symmetric,image/GMS500081712.200009.jpg
992,45,3,280,280,symmetric,image/GMS500081718.200009.jpg
994,45,3,280,280,symmetric,image/GMS500081800.200009.jpg
994,45,3,280,280,symmetric,image/GMS500081806.200009.jpg
996,35,3,60,60,symmetric,image/GMS500081906.200010.jpg
992,45,3,70,70,symmetric,image/GMS500081912.200010.jpg
985,50,4,80,80,symmetric,image/GMS500081918.200010.jpg
980,50,4,180,180,symmetric,image/GMS500082000.200010.jpg
975,55,4,190,190,symmetric,image/GMS500082006.200010.jpg
960,70,5,240,240,symmetric,image/GMS500082012.200010.jpg
945,80,5,240,240,symmetric,image/GMS500082018.200010.jpg
935,90,5,240,240,symmetric,image/GMS500082100.200010.jpg
930,90,5,240,240,symmetric,image/GMS500082106.200010.jpg
920,100,5,240,240,symmetric,image/GMS500082112.200010.jpg
920,110,5,220,220,symmetric,image/GMS500082118.200010.jpg
920,110,5,220,220,symmetric,image/GMS500082200.200010.jpg
920,110,5,220,220,symmetric,image/GMS500082206.200010.jpg
920,110,5,220,220,symmetric,image/GMS500082212.200010.jpg
930,100,5,220,220,symmetric,image/GMS500082215.200010.jpg
950,90,5,240,200,E,image/GMS500082218.200010.jpg
960,80,5,240,200,E,image/GMS500082221.200010.jpg
970,65,5,240,200,E,image/GMS500082300.200010.jpg
985,45,3,220,180,E,image/GMS500082306.200010.jpg
985,40,3,280,120,SE,image/GMS500082112.200011.jpg
985,40,3,325,120,SE,image/GMS500082118.200011.jpg
985,40,3,375,120,SE,image/GMS500082200.200011.jpg
985,35,3,375,120,SE,image/GMS500082206.200011.jpg
992,35,3,240,240,symmetric,image/GMS500082618.200012.jpg
992,40,3,260,220,SE,image/GMS500082700.200012.jpg
990,40,3,260,220,SE,image/GMS500082706.200012.jpg
990,40,3,280,220,SE,image/GMS500082712.200012.jpg
985,50,4,280,240,SE,image/GMS500082718.200012.jpg
985,50,4,250,250,symmetric,image/GMS500082800.200012.jpg
985,50,4,270,270,symmetric,image/GMS500082803.200012.jpg
985,50,4,300,300,symmetric,image/GMS500082806.200012.jpg
980,55,4,300,300,symmetric,image/GMS500082809.200012.jpg
980,55,4,300,300,symmetric,image/GMS500082812.200012.jpg
980,55,4,300,300,symmetric,image/GMS500082815.200012.jpg
980,55,4,300,300,symmetric,image/GMS500082818.200012.jpg
975,60,4,325,325,symmetric,image/GMS500082821.200012.jpg
975,60,4,400,400,symmetric,image/GMS500082900.200012.jpg
975,60,4,400,400,symmetric,image/GMS500082903.200012.jpg
975,55,4,400,400,symmetric,image/GMS500082906.200012.jpg
975,55,4,400,400,symmetric,image/GMS500082909.200012.jpg
975,55,4,400,400,symmetric,image/GMS500082912.200012.jpg
975,55,4,400,400,symmetric,image/GMS500082918.200012.jpg
970,60,4,400,400,symmetric,image/GMS500083000.200012.jpg
970,65,5,325,325,symmetric,image/GMS500083006.200012.jpg
965,70,5,240,240,symmetric,image/GMS500083012.200012.jpg
965,70,5,300,200,SE,image/GMS500083018.200012.jpg
965,70,5,300,200,SE,image/GMS500083100.200012.jpg
965,70,5,350,200,SE,image/GMS500083106.200012.jpg
975,60,4,280,150,SE,image/GMS500083112.200012.jpg
980,55,4,250,130,SE,image/GMS500083118.200012.jpg
985,50,4,270,180,SE,image/GMS500090100.200012.jpg
990,45,3,300,180,SE,image/GMS500090106.200012.jpg
996,35,3,160,160,symmetric,image/GMS500082812.200013.jpg
992,35,3,160,160,symmetric,image/GMS500082818.200013.jpg
992,35,3,160,160,symmetric,image/GMS500082900.200013.jpg
992,35,3,160,160,symmetric,image/GMS500082906.200013.jpg
990,35,3,160,160,symmetric,image/GMS500082912.200013.jpg
990,35,3,160,160,symmetric,image/GMS500082918.200013.jpg
990,35,3,160,160,symmetric,image/GMS500083000.200013.jpg
990,35,3,160,160,symmetric,image/GMS500083006.200013.jpg
990,35,3,150,150,symmetric,image/GMS500083012.200013.jpg
990,35,3,150,150,symmetric,image/GMS500083018.200013.jpg
985,40,3,150,150,symmetric,image/GMS500083100.200013.jpg
985,40,3,150,150,symmetric,image/GMS500083106.200013.jpg
985,40,3,130,130,symmetric,image/GMS500083112.200013.jpg
985,40,3,150,60,S,image/GMS500083118.200013.jpg
990,35,3,150,60,S,image/GMS500090100.200013.jpg
1000,35,3,40,40,symmetric,image/GMS500090212.200014.jpg
996,40,3,55,55,symmetric,image/GMS500090218.200014.jpg
992,40,3,70,70,symmetric,image/GMS500090300.200014.jpg
990,45,3,90,90,symmetric,image/GMS500090306.200014.jpg
985,50,4,120,120,symmetric,image/GMS500090312.200014.jpg
980,55,4,130,130,symmetric,image/GMS500090318.200014.jpg
980,60,4,140,140,symmetric,image/GMS500090400.200014.jpg
975,65,5,140,140,symmetric,image/GMS500090406.200014.jpg
975,65,5,150,150,symmetric,image/GMS500090412.200014.jpg
975,65,5,160,160,symmetric,image/GMS500090418.200014.jpg
975,65,5,150,150,symmetric,image/GMS500090500.200014.jpg
980,55,4,130,130,symmetric,image/GMS500090506.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090512.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090518.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090600.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090606.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090612.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090618.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090700.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090706.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090712.200014.jpg
985,50,4,130,130,symmetric,image/GMS500090718.200014.jpg
980,55,4,140,140,symmetric,image/GMS500090800.200014.jpg
980,55,4,150,150,symmetric,image/GMS500090806.200014.jpg
980,55,4,200,200,symmetric,image/GMS500090812.200014.jpg
975,60,4,250,250,symmetric,image/GMS500090818.200014.jpg
965,70,5,250,250,symmetric,image/GMS500090900.200014.jpg
955,75,5,270,270,symmetric,image/GMS500090906.200014.jpg
945,80,5,280,280,symmetric,image/GMS500090912.200014.jpg
935,90,5,290,290,symmetric,image/GMS500090918.200014.jpg
930,90,5,325,250,E,image/GMS500091000.200014.jpg
930,90,5,325,240,E,image/GMS500091003.200014.jpg
930,90,5,300,220,E,image/GMS500091006.200014.jpg
930,90,5,300,220,E,image/GMS500091009.200014.jpg
925,95,5,300,220,E,image/GMS500091012.200014.jpg
925,95,5,300,270,E,image/GMS500091018.200014.jpg
925,95,5,300,270,E,image/GMS500091021.200014.jpg
925,95,5,350,300,NE,image/GMS500091100.200014.jpg
930,90,5,375,280,NE,image/GMS500091103.200014.jpg
930,90,5,375,280,NE,image/GMS500091106.200014.jpg
930,90,5,375,280,NE,image/GMS500091109.200014.jpg
935,90,5,375,280,NE,image/GMS500091112.200014.jpg
940,85,5,375,280,NE,image/GMS500091118.200014.jpg
940,85,5,400,300,N,image/GMS500091121.200014.jpg
940,85,5,400,300,N,image/GMS500091200.200014.jpg
945,80,5,400,300,N,image/GMS500091203.200014.jpg
945,75,5,400,300,N,image/GMS500091206.200014.jpg
945,75,5,400,300,N,image/GMS500091209.200014.jpg
945,75,5,400,300,N,image/GMS500091210.200014.jpg
945,75,5,400,325,N,image/GMS500091212.200014.jpg
950,75,5,400,350,N,image/GMS500091218.200014.jpg
950,75,5,400,350,N,image/GMS500091221.200014.jpg
950,75,5,400,350,N,image/GMS500091300.200014.jpg
955,70,5,400,350,N,image/GMS500091303.200014.jpg
960,70,5,375,280,N,image/GMS500091306.200014.jpg
960,70,5,375,280,N,image/GMS500091309.200014.jpg
955,70,5,350,250,N,image/GMS500091312.200014.jpg
955,70,5,325,230,N,image/GMS500091318.200014.jpg
955,70,5,300,200,N,image/GMS500091400.200014.jpg
955,70,5,300,200,N,image/GMS500091406.200014.jpg
960,70,5,300,200,N,image/GMS500091412.200014.jpg
960,70,5,270,210,N,image/GMS500091418.200014.jpg
965,65,5,250,210,N,image/GMS500091500.200014.jpg
965,65,5,230,230,symmetric,image/GMS500091503.200014.jpg
965,65,5,230,230,symmetric,image/GMS500091506.200014.jpg
965,65,5,230,230,symmetric,image/GMS500091509.200014.jpg
970,60,4,230,230,symmetric,image/GMS500091512.200014.jpg
970,60,4,250,200,SE,image/GMS500091518.200014.jpg
970,55,4,230,150,SE,image/GMS500091521.200014.jpg
980,50,4,230,130,SE,image/GMS500091600.200014.jpg
994,35,3,100,100,symmetric,image/GMS500090618.200015.jpg
994,40,3,120,120,symmetric,image/GMS500090700.200015.jpg
992,40,3,120,120,symmetric,image/GMS500090706.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090712.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090718.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090721.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090800.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090803.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090806.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090809.200015.jpg
994,40,3,120,120,symmetric,image/GMS500090812.200015.jpg
994,40,3,120,120,symmetric,image/GMS500090818.200015.jpg
994,40,3,120,120,symmetric,image/GMS500090821.200015.jpg
994,40,3,120,120,symmetric,image/GMS500090900.200015.jpg
994,40,3,120,120,symmetric,image/GMS500090903.200015.jpg
992,40,3,120,120,symmetric,image/GMS500090906.200015.jpg
990,45,3,120,120,symmetric,image/GMS500090909.200015.jpg
988,45,3,120,120,symmetric,image/GMS500090912.200015.jpg
988,45,3,120,120,symmetric,image/GMS500090918.200015.jpg
990,45,3,120,120,symmetric,image/GMS500091000.200015.jpg
990,45,3,120,120,symmetric,image/GMS500091006.200015.jpg
990,45,3,120,120,symmetric,image/GMS500091012.200015.jpg
990,45,3,120,120,symmetric,image/GMS500091018.200015.jpg
992,35,3,150,75,S,image/GMS500090600.200016.jpg
990,40,3,150,75,S,image/GMS500090606.200016.jpg
985,50,4,160,80,S,image/GMS500090612.200016.jpg
985,50,4,160,80,S,image/GMS500090618.200016.jpg
980,55,4,180,100,S,image/GMS500090700.200016.jpg
980,55,4,180,100,S,image/GMS500090706.200016.jpg
975,60,4,180,120,S,image/GMS500090712.200016.jpg
970,65,5,180,120,S,image/GMS500090718.200016.jpg
960,70,5,200,160,S,image/GMS500090800.200016.jpg
955,75,5,210,180,S,image/GMS500090806.200016.jpg
955,75,5,210,180,S,image/GMS500090812.200016.jpg
960,70,5,200,170,S,image/GMS500090818.200016.jpg
960,70,5,200,170,S,image/GMS500090900.200016.jpg
970,60,4,200,170,S,image/GMS500090906.200016.jpg
975,55,4,180,150,S,image/GMS500090912.200016.jpg
980,50,4,160,140,S,image/GMS500090918.200016.jpg
985,50,4,150,130,S,image/GMS500091000.200016.jpg
990,45,3,100,60,S,image/GMS500091006.200016.jpg
996,35,3,100,50,SE,image/GMS500091503.200017.jpg
994,40,3,120,60,SE,image/GMS500091506.200017.jpg
992,45,3,140,70,SE,image/GMS500091512.200017.jpg
990,45,3,160,80,SE,image/GMS500091518.200017.jpg
990,45,3,160,80,SE,image/GMS500091521.200017.jpg
990,45,3,160,80,SE,image/GMS500091600.200017.jpg
990,45,3,160,80,E,image/GMS500091603.200017.jpg
990,45,3,160,80,E,image/GMS500091606.200017.jpg
990,45,3,160,80,E,image/GMS500091609.200017.jpg
990,45,3,160,80,E,image/GMS500091612.200017.jpg
990,45,3,160,80,E,image/GMS500091618.200017.jpg
990,45,3,160,80,E,image/GMS500091621.200017.jpg
985,50,4,180,90,E,image/GMS500091700.200017.jpg
980,55,4,200,100,E,image/GMS500091703.200017.jpg
980,55,4,200,100,E,image/GMS500091706.200017.jpg
980,55,4,200,100,E,image/GMS500091709.200017.jpg
980,55,4,200,100,E,image/GMS500091712.200017.jpg
980,55,4,200,100,SE,image/GMS500091718.200017.jpg
985,50,4,200,100,SE,image/GMS500091800.200017.jpg
998,35,3,80,80,symmetric,image/GMS500091812.200018.jpg
990,45,3,120,120,symmetric,image/GMS500091818.200018.jpg
985,50,4,150,150,symmetric,image/GMS500091900.200018.jpg
980,55,4,180,180,symmetric,image/GMS500091906.200018.jpg
970,65,5,200,200,symmetric,image/GMS500091912.200018.jpg
960,75,5,250,210,N,image/GMS500091918.200018.jpg
950,80,5,300,200,N,image/GMS500092000.200018.jpg
945,85,5,300,220,N,image/GMS500092006.200018.jpg
940,85,5,325,240,N,image/GMS500092012.200018.jpg
935,90,5,325,240,N,image/GMS500092018.200018.jpg
935,90,5,325,325,symmetric,image/GMS500092100.200018.jpg
930,95,5,325,325,symmetric,image/GMS500092106.200018.jpg
925,95,5,350,350,symmetric,image/GMS500092112.200018.jpg
925,95,5,350,350,symmetric,image/GMS500092118.200018.jpg
925,95,5,350,350,symmetric,image/GMS500092200.200018.jpg
925,95,5,350,350,symmetric,image/GMS500092206.200018.jpg
935,90,5,350,350,symmetric,image/GMS500092212.200018.jpg
940,85,5,375,375,symmetric,image/GMS500092218.200018.jpg
945,85,5,350,350,symmetric,image/GMS500092300.200018.jpg
950,80,5,325,325,symmetric,image/GMS500092306.200018.jpg
955,75,5,300,300,symmetric,image/GMS500092312.200018.jpg
960,70,5,280,280,symmetric,image/GMS500092318.200018.jpg
960,70,5,260,260,symmetric,image/GMS500092400.200018.jpg
960,70,5,350,260,SE,image/GMS500092406.200018.jpg
955,70,5,425,260,SE,image/GMS500092412.200018.jpg
1000,35,3,100,100,symmetric,image/GMS500102200.200019.jpg
998,35,3,100,100,symmetric,image/GMS500102206.200019.jpg
996,40,3,100,100,symmetric,image/GMS500102212.200019.jpg
992,40,3,100,100,symmetric,image/GMS500102218.200019.jpg
990,45,3,120,120,symmetric,image/GMS500102300.200019.jpg
990,45,3,120,120,symmetric,image/GMS500102306.200019.jpg
985,50,4,120,120,symmetric,image/GMS500102312.200019.jpg
985,50,4,120,120,symmetric,image/GMS500102318.200019.jpg
980,55,4,120,120,symmetric,image/GMS500102400.200019.jpg
975,60,4,120,120,symmetric,image/GMS500102406.200019.jpg
975,60,4,120,120,symmetric,image/GMS500102409.200019.jpg
970,65,5,120,120,symmetric,image/GMS500102412.200019.jpg
970,65,5,120,120,symmetric,image/GMS500102415.200019.jpg
